NET,PDUT,TDUT,CON1_Name,CON1_X,CON1_Y,CON1_Type,CON2_Name,CON2_X,CON2_Y,CON2_Type,CON3_Name,CON3_X,CON3_Y,CON3_Type,Layer,TPD_M2N,TPD_M2N_NRM,TPD_M2N_STD,TSM_M2N,TSM_FFI,TSM_DIFF,TSM_DIFF_NRM,TSM_DIFF_STD,TSM_M2N_NRM,TSM_M2N_STD,EMPTY,LESS
1_SA4_S2_b_1,958,254,LGA09_1.D10,64.2926 ,-237.8120 ,THROUGH,L958_DQ0.1,29.4900 ,-121.0000 ,THROUGH,L958.DQ0_WT,18.4900 ,-114.0000 ,BOTTOM,TOP-BOTTOM,2.406 ,0.41 ,-0.15 ,8.16 ,8.18 ,0.02 ,0.03 ,-0.82 ,0.61 ,-0.63 ,,
1_SA4_S2_b_11,959,260,LGA09_1.D30,58.8066 ,-214.9613 ,THROUGH,L959_DQ0.1,28.4900 ,-121.0000 ,THROUGH,L959.DQ0_WT,18.4900 ,-119.0000 ,BOTTOM,TOP-BOTTOM,2.419 ,0.46 ,0.15 ,8.16 ,8.18 ,0.02 ,0.03 ,-0.82 ,0.61 ,-0.63 ,,
1_SA4_S2_b_49,960,276,LGA09_4.D10,45.3314 ,-242.3642 ,THROUGH,L960_DQ0.1,26.4900 ,-139.0000 ,THROUGH,L960.DQ0_WT,18.4900 ,-124.0000 ,BOTTOM,TOP-BOTTOM,2.445 ,0.55 ,0.75 ,8.32 ,8.18 ,0.14 ,0.22 ,0.86 ,0.66 ,0.89 ,,
2_SA4_S2_b_41,964,1392,LGA32_3.D26,58.7680 ,219.0842 ,THROUGH,L964_DQ0.1,36.4900 ,162.5000 ,THROUGH,L964.DQ0_WT,32.2900 ,143.0000 ,BOTTOM,TOP-BOTTOM,2.490 ,0.71 ,1.78 ,8.16 ,8.12 ,0.04 ,0.06 ,-0.54 ,0.61 ,-0.63 ,,
2_SA4_S2_b_43,965,1394,LGA32_3.D30,57.8342 ,215.1947 ,THROUGH,L965_DQ0.1,36.4900 ,161.0000 ,THROUGH,L965.DQ0_WT,32.2900 ,138.0000 ,BOTTOM,TOP-BOTTOM,2.503 ,0.76 ,2.07 ,8.36 ,8.16 ,0.20 ,0.31 ,1.70 ,0.67 ,1.27 ,,
2_SA4_S2_b_49,966,1396,LGA32_4.D10,69.6405 ,236.5280 ,THROUGH,L966_DQ0.1,36.4900 ,159.5000 ,THROUGH,L966.DQ0_WT,32.2900 ,133.0000 ,BOTTOM,TOP-BOTTOM,2.480 ,0.67 ,1.55 ,8.30 ,8.16 ,0.14 ,0.22 ,0.86 ,0.66 ,0.70 ,,
2_SA4_S2_a_3,967,1375,LGA32_1.C13,47.7911 ,238.6884 ,THROUGH,L967_DQ0.1,34.9900 ,161.0000 ,THROUGH,L967.DQ0_WT,25.4900 ,128.0000 ,BOTTOM,TOP-BOTTOM,2.477 ,0.66 ,1.48 ,8.26 ,8.06 ,0.20 ,0.31 ,1.70 ,0.64 ,0.32 ,,LESS
2_SA4_S2_a_11,968,1379,LGA32_1.C29,43.2390 ,219.7272 ,THROUGH,L968_DQ0.1,34.9900 ,159.5000 ,THROUGH,L968.DQ0_WT,25.4900 ,123.0000 ,BOTTOM,TOP-BOTTOM,2.539 ,0.88 ,2.90 ,8.38 ,8.22 ,0.16 ,0.25 ,1.14 ,0.68 ,1.46 ,,LESS
2_SA4_S2_a_19,969,1383,LGA32_2.C13,54.1115 ,237.1710 ,THROUGH,L969_DQ0.1,34.9900 ,158.0000 ,THROUGH,L969.DQ0_WT,25.4900 ,118.0000 ,BOTTOM,TOP-BOTTOM,2.510 ,0.78 ,2.23 ,8.50 ,8.22 ,0.28 ,0.44 ,2.82 ,0.72 ,2.60 ,,
2_SA4_S2_a_25,970,1385,LGA32_2.C25,50.4931 ,222.0992 ,THROUGH,L970_DQ0.1,34.9900 ,156.5000 ,THROUGH,L970.DQ0_WT,25.4900 ,113.0000 ,BOTTOM,TOP-BOTTOM,2.461 ,0.61 ,1.11 ,8.30 ,8.20 ,0.10 ,0.16 ,0.30 ,0.66 ,0.70 ,,
2_SA5_S2_a_1,971,1485,LGA33_1.C09,86.0725 ,231.9691 ,THROUGH,L971_DQ0.1,24.4900 ,108.0000 ,THROUGH,L971.DQ0_WT,25.4900 ,107.0000 ,BOTTOM,TOP-BOTTOM,2.406 ,0.41 ,-0.15 ,8.14 ,8.16 ,0.02 ,0.03 ,-0.82 ,0.61 ,-0.82 ,,
2_SA5_S2_a_3,972,1487,LGA33_1.C13,84.5418 ,228.2736 ,THROUGH,L972_DQ0.1,36.2900 ,108.0000 ,THROUGH,L972.DQ0_WT,32.2900 ,107.0000 ,BOTTOM,TOP-BOTTOM,2.389 ,0.35 ,-0.54 ,8.10 ,8.12 ,0.02 ,0.03 ,-0.82 ,0.60 ,-1.20 ,,
2_SA5_S2_a_9,973,1489,LGA33_1.C25,78.6102 ,213.9534 ,THROUGH,L973_DQ0.1,33.2900 ,108.0000 ,THROUGH,L973.DQ0_WT,25.4900 ,102.0000 ,BOTTOM,TOP-BOTTOM,2.321 ,0.11 ,-2.10 ,8.16 ,8.12 ,0.04 ,0.06 ,-0.54 ,0.61 ,-0.63 ,,
2_SA5_S2_a_11,974,1491,LGA33_1.C29,77.0795 ,210.2579 ,THROUGH,L974_DQ0.1,37.2900 ,108.0000 ,THROUGH,L974.DQ0_WT,32.2900 ,102.0000 ,BOTTOM,TOP-BOTTOM,2.383 ,0.33 ,-0.68 ,8.12 ,8.14 ,0.02 ,0.03 ,-0.82 ,0.60 ,-1.01 ,,
2_SA5_S2_a_17,975,1493,LGA33_2.C09,92.0778 ,229.4816 ,THROUGH,L975_DQ0.1,28.4900 ,86.0000 ,THROUGH,L975.DQ0_WT,25.4900 ,97.0000 ,BOTTOM,TOP-BOTTOM,2.399 ,0.39 ,-0.31 ,8.22 ,8.16 ,0.06 ,0.09 ,-0.26 ,0.63 ,-0.06 ,,
2_SA5_S2_a_19,976,1495,LGA33_2.C13,90.5471 ,225.7861 ,THROUGH,L976_DQ0.1,29.2900 ,85.0000 ,THROUGH,L976.DQ0_WT,32.2900 ,97.0000 ,BOTTOM,TOP-BOTTOM,2.461 ,0.61 ,1.11 ,8.24 ,8.16 ,0.08 ,0.13 ,0.02 ,0.64 ,0.13 ,,
2_SA5_S2_a_25,977,1497,LGA33_2.C25,84.6155 ,211.4659 ,THROUGH,L977_DQ0.1,29.2900 ,84.0000 ,THROUGH,L977.DQ0_WT,32.2900 ,92.0000 ,BOTTOM,TOP-BOTTOM,2.406 ,0.41 ,-0.15 ,8.20 ,8.12 ,0.08 ,0.13 ,0.02 ,0.63 ,-0.25 ,,
2_SA7_S2_a_1,978,1709,LGA35_1.C09,153.5423 ,194.0178 ,THROUGH,L978_DQ0.1,34.2900 ,62.0000 ,THROUGH,L978.DQ0_WT,32.2900 ,61.0000 ,BOTTOM,TOP-BOTTOM,2.444 ,0.55 ,0.72 ,8.30 ,8.20 ,0.10 ,0.16 ,0.30 ,0.66 ,0.70 ,,
2_SA7_S2_a_3,979,1711,LGA35_1.C13,150.9445 ,190.9762 ,THROUGH,L979_DQ0.1,35.2900 ,62.0000 ,THROUGH,L979.DQ0_WT,32.2900 ,56.0000 ,BOTTOM,TOP-BOTTOM,2.444 ,0.55 ,0.72 ,8.24 ,8.12 ,0.12 ,0.19 ,0.58 ,0.64 ,0.13 ,,
2_SA7_S2_a_9,980,1713,LGA35_1.C25,140.8780 ,179.1899 ,THROUGH,L980_DQ0.1,35.2900 ,63.0000 ,THROUGH,L980.DQ0_WT,32.2900 ,51.0000 ,BOTTOM,TOP-BOTTOM,2.464 ,0.62 ,1.18 ,8.34 ,8.18 ,0.16 ,0.25 ,1.14 ,0.67 ,1.08 ,,
