NET,PDUT,TDUT,CON1_Name,CON1_X,CON1_Y,CON1_Type,CON2_Name,CON2_X,CON2_Y,CON2_Type,CON3_Name,CON3_X,CON3_Y,CON3_Type,Layer,TPD_M2N,TPD_M2N_NRM,TPD_M2N_STD,TSM_M2N,TSM_FFI,TSM_DIFF,TSM_DIFF_NRM,TSM_DIFF_STD,TSM_M2N_NRM,TSM_M2N_STD,EMPTY,LESS
1_SA9_S4_b_25,7,882,LGA18_2.D26,-209.2984 ,-87.2354 ,THROUGH,,,,,L7.DQ0_WT,-135.9100 ,-6.0000 ,THROUGH,TOP,2.383 ,0.33 ,-0.68 ,8.12 ,8.10 ,0.02 ,0.03 ,-0.82 ,0.60 ,-1.01 ,,
1_SA9_S4_b_17,8,878,LGA18_2.D10,-227.3140 ,-94.6977 ,THROUGH,,,,,L8.DQ0_WT,-142.7100 ,-6.0000 ,THROUGH,TOP,2.438 ,0.53 ,0.58 ,8.20 ,8.14 ,0.06 ,0.09 ,-0.26 ,0.63 ,-0.25 ,,
1_SA9_S4_b_1,10,870,LGA18_1.D10,-224.8265 ,-100.7030 ,THROUGH,,,,,L10.DQ0_WT,-142.7100 ,-16.0000 ,THROUGH,TOP,2.438 ,0.53 ,0.58 ,8.20 ,8.12 ,0.08 ,0.13 ,0.02 ,0.63 ,-0.25 ,,
2_SA1_S3_a_1,14,1065,LGA26_1.A09,-170.0812 ,179.8922 ,THROUGH,,,,,L14.DQ0_WT,-135.9100 ,56.0000 ,THROUGH,TOP,2.369 ,0.28 ,-1.00 ,8.18 ,8.20 ,0.02 ,0.03 ,-0.82 ,0.62 ,-0.44 ,,
1_SA10_S4_b_25,15,994,LGA19_2.D26,-220.3682 ,-53.4200 ,THROUGH,,,,,L15.DQ0_WT,-135.9100 ,51.0000 ,THROUGH,TOP,2.416 ,0.45 ,0.08 ,8.08 ,8.12 ,0.04 ,0.06 ,-0.54 ,0.59 ,-1.39 ,,
1_SA10_S4_b_17,16,990,LGA19_2.D10,-239.3294 ,-57.9722 ,THROUGH,,,,,L16.DQ0_WT,-135.9100 ,46.0000 ,THROUGH,TOP,2.386 ,0.34 ,-0.61 ,8.06 ,8.10 ,0.04 ,0.06 ,-0.54 ,0.58 ,-1.58 ,,
1_SA9_S4_b_57,27,896,LGA18_4.D26,-214.2732 ,-75.2250 ,THROUGH,,,,,L27.DQ0_WT,-128.9100 ,-11.0000 ,THROUGH,TOP,2.468 ,0.63 ,1.27 ,8.20 ,8.12 ,0.08 ,0.13 ,0.02 ,0.63 ,-0.25 ,,
1_SA8_S3_b_19,34,740,LGA17_2.B14,-204.5927 ,-129.7727 ,THROUGH,,,,,L34.DQ0_WT,-135.9100 ,-47.0000 ,THROUGH,TOP,2.465 ,0.62 ,1.20 ,8.20 ,8.20 ,0.00 ,0.00 ,-1.10 ,0.63 ,-0.25 ,,
1_SA8_S3_b_3,35,732,LGA17_1.B14,-201.1965 ,-135.3149 ,THROUGH,,,,,L35.DQ0_WT,-135.9100 ,-52.0000 ,THROUGH,TOP,2.442 ,0.54 ,0.68 ,0.00 ,0.00 ,,,,,,,
2_SA1_S3_a_25,38,1077,LGA26_2.A25,-152.4743 ,169.2858 ,THROUGH,,,,,L38.DQ0_WT,-128.9100 ,61.0000 ,THROUGH,TOP,2.546 ,0.91 ,3.06 ,8.26 ,8.16 ,0.10 ,0.16 ,0.30 ,0.64 ,0.32 ,,
1_SA9_S3_a_25,50,853,LGA18_2.A25,-208.1175 ,-92.6994 ,THROUGH,,,,,L50.DQ0_WT,-122.1100 ,-1.0000 ,THROUGH,TOP,2.402 ,0.40 ,-0.24 ,8.12 ,8.08 ,0.04 ,0.06 ,-0.54 ,0.60 ,-1.01 ,,
1_SA9_S3_a_19,52,851,LGA18_2.A13,-222.4376 ,-98.6310 ,THROUGH,,,,,L52.DQ0_WT,-122.1100 ,-11.0000 ,THROUGH,TOP,2.347 ,0.20 ,-1.50 ,8.16 ,8.18 ,0.02 ,0.03 ,-0.82 ,0.61 ,-0.63 ,,
1_SA8_S3_b_11,61,736,LGA17_1.B30,-184.5700 ,-125.1262 ,THROUGH,,,,,L61.DQ0_WT,-128.9100 ,-57.0000 ,THROUGH,TOP,2.490 ,0.71 ,1.78 ,8.18 ,8.16 ,0.02 ,0.03 ,-0.82 ,0.62 ,-0.44 ,,
2_SA1_S3_a_11,64,1071,LGA26_1.A29,-154.8192 ,162.0227 ,THROUGH,,,,,L64.DQ0_WT,-122.1100 ,82.0000 ,THROUGH,TOP,2.477 ,0.66 ,1.48 ,8.24 ,8.20 ,0.04 ,0.06 ,-0.54 ,0.64 ,0.13 ,,
2_SA1_S3_a_17,65,1073,LGA26_2.A09,-165.1385 ,184.1137 ,THROUGH,,,,,L65.DQ0_WT,-122.1100 ,77.0000 ,THROUGH,TOP,2.458 ,0.60 ,1.04 ,8.18 ,8.16 ,0.02 ,0.03 ,-0.82 ,0.62 ,-0.44 ,,
1_SA10_S4_b_9,68,986,LGA19_1.D26,-218.8508 ,-59.7404 ,THROUGH,,,,,L68.DQ0_WT,-122.1100 ,61.0000 ,THROUGH,TOP,2.470 ,0.64 ,1.32 ,8.22 ,8.16 ,0.06 ,0.09 ,-0.26 ,0.63 ,-0.06 ,,
1_SA10_S3_b_35,78,970,LGA19_3.B14,-236.1986 ,-53.8781 ,THROUGH,,,,,L78.DQ0_WT,-115.1100 ,10.0000 ,THROUGH,TOP,2.445 ,0.55 ,0.75 ,8.18 ,8.14 ,0.04 ,0.06 ,-0.54 ,0.62 ,-0.44 ,,
1_SA10_S3_b_41,79,972,LGA19_3.B26,-221.1269 ,-50.2597 ,THROUGH,,,,,L79.DQ0_WT,-115.1100 ,5.0000 ,THROUGH,TOP,2.435 ,0.52 ,0.52 ,8.24 ,8.18 ,0.06 ,0.09 ,-0.26 ,0.64 ,0.13 ,,
1_SA7_S4_b_3,91,648,LGA16_1.D14,-179.6622 ,-162.6517 ,THROUGH,,,,,L91.DQ0_WT,-122.1100 ,-57.0000 ,THROUGH,TOP,2.432 ,0.51 ,0.45 ,8.16 ,8.20 ,0.04 ,0.06 ,-0.54 ,0.61 ,-0.63 ,,
1_SA7_S3_a_19,95,627,LGA16_2.A13,-181.0721 ,-162.5407 ,THROUGH,,,,,L95.DQ0_WT,-122.1100 ,-78.0000 ,THROUGH,TOP,2.402 ,0.40 ,-0.24 ,8.14 ,8.16 ,0.02 ,0.03 ,-0.82 ,0.61 ,-0.82 ,,
1_SA7_S3_a_3,96,619,LGA16_1.A13,-176.8506 ,-167.4834 ,THROUGH,,,,,L96.DQ0_WT,-122.1100 ,-83.0000 ,THROUGH,TOP,2.360 ,0.25 ,-1.20 ,8.16 ,8.10 ,0.06 ,0.09 ,-0.26 ,0.61 ,-0.63 ,,
2_SA1_S3_a_57,97,1091,LGA26_4.A25,-142.5890 ,177.7286 ,THROUGH,,,,,L97.DQ0_WT,-115.1100 ,92.0000 ,THROUGH,TOP,2.438 ,0.53 ,0.58 ,8.20 ,8.14 ,0.06 ,0.09 ,-0.26 ,0.63 ,-0.25 ,,
1_SA10_S4_b_57,102,1008,LGA19_4.D26,-223.4030 ,-40.7792 ,THROUGH,,,,,L102.DQ0_WT,-108.3100 ,66.0000 ,THROUGH,TOP,2.441 ,0.54 ,0.65 ,8.18 ,8.14 ,0.04 ,0.06 ,-0.54 ,0.62 ,-0.44 ,,
2_SA1_S3_b_41,106,1084,LGA26_3.B26,-145.1712 ,174.2081 ,THROUGH,,,,,L106.DQ0_WT,-115.1100 ,46.0000 ,THROUGH,TOP,2.412 ,0.43 ,-0.01 ,8.26 ,8.18 ,0.08 ,0.13 ,0.02 ,0.64 ,0.32 ,,
1_SA10_S3_a_9,113,957,LGA19_1.A25,-218.5392 ,-65.3219 ,THROUGH,,,,,L113.DQ0_WT,-108.3100 ,10.0000 ,THROUGH,TOP,2.412 ,0.43 ,-0.01 ,8.16 ,8.14 ,0.02 ,0.03 ,-0.82 ,0.61 ,-0.63 ,,
1_SA10_S3_a_11,114,959,LGA19_1.A29,-214.6497 ,-64.3881 ,THROUGH,,,,,L114.DQ0_WT,-108.3100 ,5.0000 ,THROUGH,TOP,2.415 ,0.45 ,0.06 ,8.18 ,8.22 ,0.04 ,0.06 ,-0.54 ,0.62 ,-0.44 ,,
1_SA7_S4_b_51,123,670,LGA16_4.D14,-192.3265 ,-147.8237 ,THROUGH,,,,,L123.DQ0_WT,-108.3100 ,-42.0000 ,THROUGH,TOP,2.409 ,0.42 ,-0.08 ,8.28 ,8.10 ,0.18 ,0.28 ,1.42 ,0.65 ,0.51 ,,
1_SA7_S3_a_9,132,621,LGA16_1.A25,-165.0643 ,-157.4170 ,THROUGH,,,,,L132.DQ0_WT,-108.3100 ,-88.0000 ,THROUGH,TOP,2.370 ,0.29 ,-0.97 ,8.16 ,8.20 ,0.04 ,0.06 ,-0.54 ,0.61 ,-0.63 ,,
2_SA2_S4_a_11,134,1211,LGA27_1.C29,-124.7961 ,185.9451 ,THROUGH,,,,,L134.DQ0_WT,-101.3100 ,92.0000 ,THROUGH,TOP,2.341 ,0.18 ,-1.64 ,8.28 ,8.20 ,0.08 ,0.13 ,0.02 ,0.65 ,0.51 ,,
2_SA1_S4_b_19,136,1104,LGA26_2.D14,-157.7090 ,183.8837 ,THROUGH,,,,,L136.DQ0_WT,-108.3100 ,92.0000 ,THROUGH,TOP,2.441 ,0.54 ,0.65 ,8.24 ,8.22 ,0.02 ,0.03 ,-0.82 ,0.64 ,0.13 ,,
1_SA7_S3_a_35,173,633,LGA16_3.A13,-185.2935 ,-157.5980 ,THROUGH,,,,,L173.DQ0_WT,-94.5100 ,-103.0000 ,THROUGH,TOP,2.432 ,0.51 ,0.45 ,8.22 ,8.14 ,0.08 ,0.13 ,0.02 ,0.63 ,-0.06 ,,
2_SA2_S4_a_57,174,1231,LGA27_4.C25,-110.2596 ,199.5444 ,THROUGH,,,,,L174.DQ0_WT,-94.5100 ,113.0000 ,THROUGH,TOP,2.441 ,0.54 ,0.65 ,8.14 ,8.16 ,0.02 ,0.03 ,-0.82 ,0.61 ,-0.82 ,,
1_SA9_S2_b_1,304,814,LGA14_1.D10,-122.6968 ,-213.6202 ,THROUGH,,,,,L304.DQ0_WT,-73.7100 ,-88.0000 ,THROUGH,TOP,2.402 ,0.40 ,-0.24 ,8.18 ,8.16 ,0.02 ,0.03 ,-0.82 ,0.62 ,-0.44 ,,
2_SA3_S3_b_19,311,1300,LGA28_2.B14,-96.1696 ,222.3748 ,THROUGH,,,,,L311.DQ0_WT,-73.7100 ,128.0000 ,THROUGH,TOP,2.400 ,0.39 ,-0.29 ,8.20 ,8.16 ,0.04 ,0.06 ,-0.54 ,0.63 ,-0.25 ,,
2_SA3_S4_b_25,315,1330,LGA28_2.D26,-87.2354 ,209.2984 ,THROUGH,,,,,L315.DQ0_WT,-73.7100 ,107.0000 ,THROUGH,TOP,2.392 ,0.36 ,-0.47 ,8.10 ,8.20 ,0.10 ,0.16 ,0.30 ,0.60 ,-1.20 ,,
2_SA2_S4_b_19,320,1216,LGA27_2.D14,-127.0016 ,206.2908 ,THROUGH,,,,,L320.DQ0_WT,-73.7100 ,82.0000 ,THROUGH,TOP,2.386 ,0.34 ,-0.61 ,8.22 ,8.16 ,0.06 ,0.09 ,-0.26 ,0.63 ,-0.06 ,,
1_SA9_S3_b_49,332,864,LGA18_4.B10,-231.0451 ,-85.6899 ,THROUGH,,,,,L332.DQ0_WT,-73.7100 ,20.0000 ,THROUGH,TOP,2.513 ,0.79 ,2.30 ,8.28 ,8.20 ,0.08 ,0.13 ,0.02 ,0.65 ,0.51 ,,
1_SA9_S3_b_43,333,862,LGA18_3.B30,-206.8465 ,-82.7021 ,THROUGH,,,,,L333.DQ0_WT,-73.7100 ,15.0000 ,THROUGH,TOP,2.532 ,0.86 ,2.74 ,8.34 ,8.28 ,0.06 ,0.09 ,-0.26 ,0.67 ,1.08 ,,
1_SA10_S1_a_11,349,903,LGA15_1.A29,-135.8089 ,-178.2589 ,THROUGH,,,,,L349.DQ0_WT,-73.7100 ,-67.0000 ,THROUGH,TOP,2.510 ,0.78 ,2.23 ,8.26 ,8.28 ,0.02 ,0.03 ,-0.82 ,0.64 ,0.32 ,,
1_SA8_S2_b_25,350,714,LGA13_2.D26,-86.3115 ,-209.6810 ,THROUGH,,,,,L350.DQ0_WT,-73.7100 ,-73.0000 ,THROUGH,TOP,2.549 ,0.92 ,3.13 ,8.20 ,8.20 ,0.00 ,0.00 ,-1.10 ,0.63 ,-0.25 ,,
1_SA9_S2_b_49,353,836,LGA14_4.D10,-139.3233 ,-203.4314 ,THROUGH,,,,,L353.DQ0_WT,-66.9100 ,-88.0000 ,THROUGH,TOP,2.392 ,0.36 ,-0.47 ,8.18 ,8.18 ,0.00 ,0.00 ,-1.10 ,0.62 ,-0.44 ,,
1_SA8_S2_a_11,358,707,LGA13_1.C29,-77.0795 ,-210.2579 ,THROUGH,,,,,L358.DQ0_WT,-73.7100 ,-114.0000 ,THROUGH,TOP,2.376 ,0.31 ,-0.84 ,8.26 ,8.14 ,0.12 ,0.19 ,0.58 ,0.64 ,0.32 ,,
1_SA8_S2_a_25,359,713,LGA13_2.C25,-84.6155 ,-211.4659 ,THROUGH,,,,,L359.DQ0_WT,-73.7100 ,-119.0000 ,THROUGH,TOP,2.465 ,0.62 ,1.20 ,8.16 ,8.16 ,0.00 ,0.00 ,-1.10 ,0.61 ,-0.63 ,,
1_SA9_S1_a_57,360,811,LGA14_4.A25,-124.9675 ,-190.5313 ,THROUGH,,,,,L360.DQ0_WT,-73.7100 ,-124.0000 ,THROUGH,TOP,2.556 ,0.94 ,3.29 ,8.20 ,8.18 ,0.02 ,0.03 ,-0.82 ,0.63 ,-0.25 ,,
2_SA3_S3_b_57,361,1316,LGA28_4.B26,-78.2276 ,213.0294 ,THROUGH,,,,,L361.DQ0_WT,-59.9100 ,128.0000 ,THROUGH,TOP,2.434 ,0.51 ,0.49 ,8.22 ,8.18 ,0.04 ,0.06 ,-0.54 ,0.63 ,-0.06 ,,
2_SA3_S4_b_35,367,1334,LGA28_3.D14,-87.1618 ,226.1059 ,THROUGH,,,,,L367.DQ0_WT,-59.9100 ,97.0000 ,THROUGH,TOP,2.497 ,0.73 ,1.94 ,8.24 ,8.14 ,0.10 ,0.16 ,0.30 ,0.64 ,0.13 ,,
2_SA2_S4_b_43,370,1226,LGA27_3.D30,-111.2707 ,193.0606 ,THROUGH,,,,,L370.DQ0_WT,-66.9100 ,82.0000 ,THROUGH,TOP,2.465 ,0.62 ,1.20 ,8.26 ,8.18 ,0.08 ,0.13 ,0.02 ,0.64 ,0.32 ,,
2_SA3_S3_a_33,376,1303,LGA28_3.A09,-94.1566 ,228.6205 ,THROUGH,,,,,L376.DQ0_WT,-59.9100 ,51.0000 ,THROUGH,TOP,2.321 ,0.11 ,-2.10 ,8.22 ,8.16 ,0.06 ,0.09 ,-0.26 ,0.63 ,-0.06 ,,
1_SA10_S2_a_19,388,935,LGA15_2.C13,-155.8871 ,-186.7548 ,THROUGH,,,,,L388.DQ0_WT,-59.9100 ,-11.0000 ,THROUGH,TOP,2.429 ,0.49 ,0.38 ,8.18 ,8.26 ,0.08 ,0.13 ,0.02 ,0.62 ,-0.44 ,,
1_SA10_S1_a_43,397,917,LGA15_3.A29,-145.6942 ,-169.8161 ,THROUGH,,,,,L397.DQ0_WT,-59.9100 ,-57.0000 ,THROUGH,TOP,2.386 ,0.34 ,-0.61 ,8.34 ,8.16 ,0.18 ,0.28 ,1.42 ,0.67 ,1.08 ,,
1_SA10_S1_a_41,399,915,LGA15_3.A25,-148.2920 ,-172.8578 ,THROUGH,,,,,L399.DQ0_WT,-66.9100 ,-67.0000 ,THROUGH,TOP,2.396 ,0.38 ,-0.38 ,8.24 ,8.14 ,0.10 ,0.16 ,0.30 ,0.64 ,0.13 ,,
1_SA8_S2_b_33,400,716,LGA13_3.D10,-99.7791 ,-225.2093 ,THROUGH,,,,,L400.DQ0_WT,-66.9100 ,-73.0000 ,THROUGH,TOP,2.415 ,0.45 ,0.06 ,8.14 ,8.14 ,0.00 ,0.00 ,-1.10 ,0.61 ,-0.82 ,,
2_SA1_S2_b_3,412,1040,LGA29_1.D14,-63.3588 ,233.9225 ,THROUGH,,,,,L412.DQ0_WT,-53.1100 ,133.0000 ,THROUGH,TOP,2.455 ,0.59 ,0.97 ,8.08 ,8.10 ,0.02 ,0.03 ,-0.82 ,0.59 ,-1.39 ,,
2_SA3_S4_b_19,413,1328,LGA28_2.D14,-93.1670 ,223.6185 ,THROUGH,,,,,L413.DQ0_WT,-53.1100 ,128.0000 ,THROUGH,TOP,2.461 ,0.61 ,1.11 ,8.20 ,8.16 ,0.04 ,0.06 ,-0.54 ,0.63 ,-0.25 ,,
2_SA1_S1_a_17,419,1017,LGA29_2.A09,-63.5536 ,239.0178 ,THROUGH,,,,,L419.DQ0_WT,-53.1100 ,97.0000 ,THROUGH,TOP,2.412 ,0.43 ,-0.01 ,8.14 ,8.14 ,0.00 ,0.00 ,-1.10 ,0.61 ,-0.82 ,,
2_SA1_S1_b_25,428,1022,LGA29_2.B26,-56.5802 ,219.6095 ,THROUGH,,,,,L428.DQ0_WT,-53.1100 ,51.0000 ,THROUGH,TOP,2.403 ,0.40 ,-0.22 ,8.20 ,8.20 ,0.00 ,0.00 ,-1.10 ,0.63 ,-0.25 ,,
1_SA10_S2_a_57,440,951,LGA15_4.C25,-155.7059 ,-166.5257 ,THROUGH,,,,,L440.DQ0_WT,-53.1100 ,-11.0000 ,THROUGH,TOP,2.409 ,0.42 ,-0.08 ,8.20 ,8.16 ,0.04 ,0.06 ,-0.54 ,0.63 ,-0.25 ,,
1_SA9_S1_b_17,446,794,LGA14_2.B10,-125.4679 ,-211.9221 ,THROUGH,,,,,L446.DQ0_WT,-46.1100 ,-42.0000 ,THROUGH,TOP,2.396 ,0.38 ,-0.38 ,8.16 ,8.12 ,0.04 ,0.06 ,-0.54 ,0.61 ,-0.63 ,,
1_SA9_S1_b_11,449,792,LGA14_1.B30,-107.6470 ,-195.2813 ,THROUGH,,,,,L449.DQ0_WT,-53.1100 ,-57.0000 ,THROUGH,TOP,2.382 ,0.33 ,-0.70 ,8.20 ,8.16 ,0.04 ,0.06 ,-0.54 ,0.63 ,-0.25 ,,
1_SA9_S2_a_1,494,813,LGA14_1.C09,-121.3008 ,-215.6485 ,THROUGH,,,,,L494.DQ0_WT,-46.1100 ,-16.0000 ,THROUGH,TOP,2.418 ,0.46 ,0.13 ,8.14 ,8.14 ,0.00 ,0.00 ,-1.10 ,0.61 ,-0.82 ,,
1_SA9_S1_b_51,499,810,LGA14_4.B14,-134.4622 ,-201.7190 ,THROUGH,,,,,L499.DQ0_WT,-39.3100 ,-42.0000 ,THROUGH,TOP,2.452 ,0.58 ,0.91 ,6.16 ,5.92 ,0.24 ,0.38 ,2.26 ,,,,
2_SA1_S2_b_43,518,1058,LGA29_3.D30,-46.1657 ,217.9961 ,THROUGH,,,,,L518.DQ0_WT,-39.3100 ,138.0000 ,THROUGH,TOP,2.461 ,0.61 ,1.11 ,8.24 ,8.22 ,0.02 ,0.03 ,-0.82 ,0.64 ,0.13 ,,
2_SA1_S1_b_19,531,1020,LGA29_2.B14,-60.1986 ,234.6812 ,THROUGH,,,,,L531.DQ0_WT,-46.1100 ,71.0000 ,THROUGH,TOP,2.481 ,0.68 ,1.57 ,8.32 ,8.16 ,0.16 ,0.25 ,1.14 ,0.66 ,0.89 ,,
2_SA2_S1_b_9,536,1126,LGA30_1.B26,-28.0091 ,225.2468 ,THROUGH,,,,,L536.DQ0_WT,-32.3100 ,46.0000 ,THROUGH,TOP,2.441 ,0.54 ,0.65 ,8.12 ,8.08 ,0.04 ,0.06 ,-0.54 ,0.60 ,-1.01 ,,
1_SA9_S2_a_33,545,827,LGA14_3.C09,-132.3852 ,-208.8559 ,THROUGH,,,,,L545.DQ0_WT,-39.3100 ,-1.0000 ,THROUGH,TOP,2.354 ,0.23 ,-1.34 ,8.14 ,8.08 ,0.06 ,0.09 ,-0.26 ,0.61 ,-0.82 ,,
1_SA9_S2_a_49,548,835,LGA14_4.C09,-137.9273 ,-205.4597 ,THROUGH,,,,,L548.DQ0_WT,-39.3100 ,-16.0000 ,THROUGH,TOP,2.431 ,0.50 ,0.42 ,8.24 ,8.18 ,0.06 ,0.09 ,-0.26 ,0.64 ,0.13 ,,
1_SA7_S1_b_25,559,574,LGA12_2.B26,-49.2873 ,-221.3603 ,THROUGH,,,,,L559.DQ0_WT,-46.1100 ,-73.0000 ,THROUGH,TOP,2.543 ,0.90 ,2.99 ,8.26 ,8.16 ,0.10 ,0.16 ,0.30 ,0.64 ,0.32 ,,
1_SA7_S1_b_17,560,570,LGA12_2.B10,-53.8395 ,-240.3215 ,THROUGH,,,,,L560.DQ0_WT,-46.1100 ,-78.0000 ,THROUGH,TOP,2.422 ,0.47 ,0.22 ,8.26 ,8.16 ,0.10 ,0.16 ,0.30 ,0.64 ,0.32 ,,
1_SA7_S1_b_19,561,572,LGA12_2.B14,-52.9057 ,-236.4321 ,THROUGH,,,,,L561.DQ0_WT,-39.3100 ,-83.0000 ,THROUGH,TOP,2.392 ,0.36 ,-0.47 ,8.16 ,8.20 ,0.04 ,0.06 ,-0.54 ,0.61 ,-0.63 ,,
2_SA1_S2_b_57,572,1064,LGA29_4.D26,-40.7792 ,223.4030 ,THROUGH,,,,,L572.DQ0_WT,-32.3100 ,143.0000 ,THROUGH,TOP,2.406 ,0.41 ,-0.15 ,8.08 ,8.18 ,0.10 ,0.16 ,0.30 ,0.59 ,-1.39 ,,
2_SA1_S2_a_57,580,1063,LGA29_4.C25,-43.2005 ,223.8501 ,THROUGH,,,,,L580.DQ0_WT,-25.5100 ,102.0000 ,THROUGH,TOP,2.386 ,0.34 ,-0.61 ,8.30 ,8.16 ,0.14 ,0.22 ,0.86 ,0.66 ,0.70 ,,
2_SA1_S2_a_51,581,1061,LGA29_4.C13,-46.8189 ,238.9218 ,THROUGH,,,,,L581.DQ0_WT,-25.5100 ,97.0000 ,THROUGH,TOP,2.337 ,0.17 ,-1.73 ,8.20 ,8.14 ,0.06 ,0.09 ,-0.26 ,0.63 ,-0.25 ,,
2_SA1_S2_a_43,583,1057,LGA29_3.C29,-48.5870 ,218.4432 ,THROUGH,,,,,L583.DQ0_WT,-32.3100 ,102.0000 ,THROUGH,TOP,2.451 ,0.57 ,0.88 ,8.34 ,8.24 ,0.10 ,0.16 ,0.30 ,0.67 ,1.08 ,,
2_SA1_S2_a_41,584,1055,LGA29_3.C25,-49.5208 ,222.3327 ,THROUGH,,,,,L584.DQ0_WT,-32.3100 ,97.0000 ,THROUGH,TOP,2.354 ,0.23 ,-1.34 ,8.22 ,8.20 ,0.02 ,0.03 ,-0.82 ,0.63 ,-0.06 ,,
2_SA1_S2_a_35,585,1053,LGA29_3.C13,-53.1392 ,237.4044 ,THROUGH,,,,,L585.DQ0_WT,-32.3100 ,92.0000 ,THROUGH,TOP,2.367 ,0.28 ,-1.04 ,8.32 ,8.24 ,0.08 ,0.13 ,0.02 ,0.66 ,0.89 ,,
2_SA1_S1_b_57,586,1036,LGA29_4.B26,-43.9394 ,222.6443 ,THROUGH,,,,,L586.DQ0_WT,-32.3100 ,61.0000 ,THROUGH,TOP,2.373 ,0.30 ,-0.90 ,8.42 ,8.26 ,0.16 ,0.25 ,1.14 ,0.69 ,1.84 ,,
2_SA1_S1_b_51,587,1034,LGA29_4.B14,-47.5578 ,237.7160 ,THROUGH,,,,,L587.DQ0_WT,-32.3100 ,56.0000 ,THROUGH,TOP,2.454 ,0.58 ,0.95 ,8.22 ,8.12 ,0.10 ,0.16 ,0.30 ,0.63 ,-0.06 ,,
2_SA1_S1_b_49,588,1032,LGA29_4.B10,-48.4916 ,241.6055 ,THROUGH,,,,,L588.DQ0_WT,-32.3100 ,51.0000 ,THROUGH,TOP,2.438 ,0.53 ,0.58 ,8.26 ,8.12 ,0.14 ,0.22 ,0.86 ,0.64 ,0.32 ,,
2_SA1_S1_b_43,589,1030,LGA29_3.B30,-49.3259 ,217.2374 ,THROUGH,,,,,L589.DQ0_WT,-25.5100 ,56.0000 ,THROUGH,TOP,2.399 ,0.39 ,-0.31 ,8.28 ,8.16 ,0.12 ,0.19 ,0.58 ,0.65 ,0.51 ,,
2_SA2_S1_b_35,590,1138,LGA30_3.B14,-16.2652 ,241.7190 ,THROUGH,,,,,L590.DQ0_WT,-25.5100 ,51.0000 ,THROUGH,TOP,2.402 ,0.40 ,-0.24 ,8.22 ,8.22 ,0.00 ,0.00 ,-1.10 ,0.63 ,-0.06 ,,
2_SA2_S1_b_41,591,1140,LGA30_3.B26,-15.0491 ,226.2668 ,THROUGH,,,,,L591.DQ0_WT,-25.5100 ,46.0000 ,THROUGH,TOP,2.415 ,0.45 ,0.06 ,8.24 ,8.14 ,0.10 ,0.16 ,0.30 ,0.64 ,0.13 ,,
2_SA2_S2_a_19,598,1159,LGA30_2.C13,-21.8267 ,242.2844 ,THROUGH,,,,,L598.DQ0_WT,-32.3100 ,10.0000 ,THROUGH,TOP,2.402 ,0.40 ,-0.24 ,8.18 ,8.10 ,0.08 ,0.13 ,0.02 ,0.62 ,-0.44 ,,
2_SA2_S2_a_25,599,1161,LGA30_2.C25,-20.6106 ,226.8322 ,THROUGH,,,,,L599.DQ0_WT,-32.3100 ,5.0000 ,THROUGH,TOP,2.415 ,0.45 ,0.06 ,8.16 ,8.10 ,0.06 ,0.09 ,-0.26 ,0.61 ,-0.63 ,,
1_SA7_S1_b_51,615,586,LGA12_4.B14,-65.5465 ,-233.3973 ,THROUGH,,,,,L615.DQ0_WT,-32.3100 ,-93.0000 ,THROUGH,TOP,2.367 ,0.28 ,-1.04 ,8.34 ,8.16 ,0.18 ,0.28 ,1.42 ,0.67 ,1.08 ,,
1_SA7_S1_a_25,627,573,LGA12_2.A25,-47.3329 ,-222.8579 ,THROUGH,,,,,L627.DQ0_WT,-32.3100 ,-139.0000 ,THROUGH,TOP,2.389 ,0.35 ,-0.54 ,8.12 ,8.18 ,0.06 ,0.09 ,-0.26 ,0.60 ,-1.01 ,,
2_SA2_S1_a_25,628,1133,LGA30_2.A25,-23.8506 ,226.5772 ,THROUGH,,,,,L628.DQ0_WT,-25.5100 ,143.0000 ,THROUGH,TOP,2.396 ,0.38 ,-0.38 ,8.12 ,8.14 ,0.02 ,0.03 ,-0.82 ,0.60 ,-1.01 ,,
2_SA2_S2_b_3,640,1152,LGA30_1.D14,-25.9852 ,240.9540 ,THROUGH,,,,,L640.DQ0_WT,-25.5100 ,92.0000 ,THROUGH,TOP,2.373 ,0.30 ,-0.90 ,7.98 ,7.92 ,0.06 ,0.09 ,-0.26 ,,,,
2_SA2_S2_b_1,641,1150,LGA30_1.D10,-26.2990 ,244.9417 ,THROUGH,,,,,L641.DQ0_WT,-25.5100 ,87.0000 ,THROUGH,TOP,2.351 ,0.22 ,-1.41 ,8.24 ,8.20 ,0.04 ,0.06 ,-0.54 ,0.64 ,0.13 ,,
2_SA2_S1_b_19,642,1132,LGA30_2.B14,-22.7452 ,241.2090 ,THROUGH,,,,,L642.DQ0_WT,-25.5100 ,61.0000 ,THROUGH,TOP,2.389 ,0.35 ,-0.54 ,8.16 ,8.14 ,0.02 ,0.03 ,-0.82 ,0.61 ,-0.63 ,,
2_SA2_S1_b_17,643,1130,LGA30_2.B10,-23.0590 ,245.1967 ,THROUGH,,,,,L643.DQ0_WT,-18.5100 ,66.0000 ,THROUGH,TOP,2.389 ,0.35 ,-0.54 ,8.20 ,8.14 ,0.06 ,0.09 ,-0.26 ,0.63 ,-0.25 ,,
